date,text,clean_review,tokens,lemmatized,processed_text,topic,sentiment_score,sentiment,topic_name,menu_item
2024-03-01,The vibe and aesthetic of the cafe are on point but the food options are limited. The place does offer exclusively vegan food options. The portions weren't worth the money and I personally did not find the taste to be reall good either. …,the vibe and aesthetic of the cafe are on point but the food options are limited the place does offer exclusively vegan food options the portions werent worth the money and i personally did not find the taste to be reall good either,"['vibe', 'aesthetic', 'cafe', 'point', 'options', 'limited', 'offer', 'exclusively', 'vegan', 'options', 'portions', 'werent', 'worth', 'money', 'personally', 'find', 'reall', 'either']","['vibe', 'aesthetic', 'cafe', 'point', 'option', 'limit', 'offer', 'exclusively', 'vegan', 'option', 'portion', 'worth', 'money', 'personally', 'find', 'reall', 'either']",vibe aesthetic cafe point option limit offer exclusively vegan option portion worth money personally find reall either,1,0.2263,Positive,Millet & Vegan Experience,vegan
2025-01-01,"One of the few Vegan friendly cafes in Delhi. Food is amazing. The tacos are a must try. We also tried the Burger, Oyester mushroom tempura sushi roll, and Spaghetti. Service was quick and friendly. ",one of the few vegan friendly cafes in delhi food is amazing the tacos are a must try we also tried the burger oyester mushroom tempura sushi roll and spaghetti service was quick and friendly,"['vegan', 'friendly', 'cafes', 'delhi', 'tacos', 'must', 'tried', 'burger', 'oyester', 'mushroom', 'tempura', 'sushi', 'roll', 'spaghetti', 'quick', 'friendly']","['vegan', 'friendly', 'cafe', 'delhi', 'taco', 'must', 'burger', 'oyester', 'mushroom', 'tempura', 'sushi', 'roll', 'spaghetti', 'quick', 'friendly']",vegan friendly cafe delhi taco must burger oyester mushroom tempura sushi roll spaghetti quick friendly,3,0.7506,Positive,Healthy & Vegan Options,vegan
2025-01-01,"One of the few Vegan friendly cafes in Delhi. Food is amazing. The tacos are a must try. We also tried the Burger, Oyester mushroom tempura sushi roll, and Spaghetti. Service was quick and friendly. ",one of the few vegan friendly cafes in delhi food is amazing the tacos are a must try we also tried the burger oyester mushroom tempura sushi roll and spaghetti service was quick and friendly,"['vegan', 'friendly', 'cafes', 'delhi', 'tacos', 'must', 'tried', 'burger', 'oyester', 'mushroom', 'tempura', 'sushi', 'roll', 'spaghetti', 'quick', 'friendly']","['vegan', 'friendly', 'cafe', 'delhi', 'taco', 'must', 'burger', 'oyester', 'mushroom', 'tempura', 'sushi', 'roll', 'spaghetti', 'quick', 'friendly']",vegan friendly cafe delhi taco must burger oyester mushroom tempura sushi roll spaghetti quick friendly,3,0.7506,Positive,Healthy & Vegan Options,burger
2024-05-01,"The food is good, but I believe that burger buns, pizza dough and wrappers should not contain yeast, which is harmful to the body. Because of this, I had to abandon these items. The cakes and rolls are too small for the price. Overall price was affordable.",the food is good but i believe that burger buns pizza dough and wrappers should not contain yeast which is harmful to the body because of this i had to abandon these items the cakes and rolls are too small for the price overall price was affordable,"['believe', 'burger', 'buns', 'pizza', 'dough', 'wrappers', 'contain', 'yeast', 'harmful', 'body', 'abandon', 'items', 'cakes', 'rolls', 'small', 'price', 'overall', 'price', 'affordable']","['believe', 'burger', 'bun', 'pizza', 'dough', 'wrapper', 'contain', 'yeast', 'harmful', 'body', 'abandon', 'item', 'cake', 'roll', 'small', 'price', 'overall', 'price', 'affordable']",believe burger bun pizza dough wrapper contain yeast harmful body abandon item cake roll small price overall price affordable,4,-0.4404,Negative,Overall Experience & Ambience,burger
2024-05-01,"The food is good, but I believe that burger buns, pizza dough and wrappers should not contain yeast, which is harmful to the body. Because of this, I had to abandon these items. The cakes and rolls are too small for the price. Overall price was affordable.",the food is good but i believe that burger buns pizza dough and wrappers should not contain yeast which is harmful to the body because of this i had to abandon these items the cakes and rolls are too small for the price overall price was affordable,"['believe', 'burger', 'buns', 'pizza', 'dough', 'wrappers', 'contain', 'yeast', 'harmful', 'body', 'abandon', 'items', 'cakes', 'rolls', 'small', 'price', 'overall', 'price', 'affordable']","['believe', 'burger', 'bun', 'pizza', 'dough', 'wrapper', 'contain', 'yeast', 'harmful', 'body', 'abandon', 'item', 'cake', 'roll', 'small', 'price', 'overall', 'price', 'affordable']",believe burger bun pizza dough wrapper contain yeast harmful body abandon item cake roll small price overall price affordable,4,-0.4404,Negative,Overall Experience & Ambience,rice
2024-05-01,"The food is good, but I believe that burger buns, pizza dough and wrappers should not contain yeast, which is harmful to the body. Because of this, I had to abandon these items. The cakes and rolls are too small for the price. Overall price was affordable.",the food is good but i believe that burger buns pizza dough and wrappers should not contain yeast which is harmful to the body because of this i had to abandon these items the cakes and rolls are too small for the price overall price was affordable,"['believe', 'burger', 'buns', 'pizza', 'dough', 'wrappers', 'contain', 'yeast', 'harmful', 'body', 'abandon', 'items', 'cakes', 'rolls', 'small', 'price', 'overall', 'price', 'affordable']","['believe', 'burger', 'bun', 'pizza', 'dough', 'wrapper', 'contain', 'yeast', 'harmful', 'body', 'abandon', 'item', 'cake', 'roll', 'small', 'price', 'overall', 'price', 'affordable']",believe burger bun pizza dough wrapper contain yeast harmful body abandon item cake roll small price overall price affordable,4,-0.4404,Negative,Overall Experience & Ambience,wrap
2024-05-01,"The food is good, but I believe that burger buns, pizza dough and wrappers should not contain yeast, which is harmful to the body. Because of this, I had to abandon these items. The cakes and rolls are too small for the price. Overall price was affordable.",the food is good but i believe that burger buns pizza dough and wrappers should not contain yeast which is harmful to the body because of this i had to abandon these items the cakes and rolls are too small for the price overall price was affordable,"['believe', 'burger', 'buns', 'pizza', 'dough', 'wrappers', 'contain', 'yeast', 'harmful', 'body', 'abandon', 'items', 'cakes', 'rolls', 'small', 'price', 'overall', 'price', 'affordable']","['believe', 'burger', 'bun', 'pizza', 'dough', 'wrapper', 'contain', 'yeast', 'harmful', 'body', 'abandon', 'item', 'cake', 'roll', 'small', 'price', 'overall', 'price', 'affordable']",believe burger bun pizza dough wrapper contain yeast harmful body abandon item cake roll small price overall price affordable,4,-0.4404,Negative,Overall Experience & Ambience,pizza
2024-05-01,"The food is good, but I believe that burger buns, pizza dough and wrappers should not contain yeast, which is harmful to the body. Because of this, I had to abandon these items. The cakes and rolls are too small for the price. Overall price was affordable.",the food is good but i believe that burger buns pizza dough and wrappers should not contain yeast which is harmful to the body because of this i had to abandon these items the cakes and rolls are too small for the price overall price was affordable,"['believe', 'burger', 'buns', 'pizza', 'dough', 'wrappers', 'contain', 'yeast', 'harmful', 'body', 'abandon', 'items', 'cakes', 'rolls', 'small', 'price', 'overall', 'price', 'affordable']","['believe', 'burger', 'bun', 'pizza', 'dough', 'wrapper', 'contain', 'yeast', 'harmful', 'body', 'abandon', 'item', 'cake', 'roll', 'small', 'price', 'overall', 'price', 'affordable']",believe burger bun pizza dough wrapper contain yeast harmful body abandon item cake roll small price overall price affordable,4,-0.4404,Negative,Overall Experience & Ambience,cake
2024-03-01,Cafe Greenr is a lifesaver for people who are vegan or gluten intolerant or dairy intolerant. The menu is healthy and the ingredients are fresh and of good quality but that does not mean the taste is not good. Greenr has perfected the art …More,cafe greenr is a lifesaver for people who are vegan or gluten intolerant or dairy intolerant the menu is healthy and the ingredients are fresh and of good quality but that does not mean the taste is not good greenr has perfected the art more,"['cafe', 'greenr', 'lifesaver', 'people', 'vegan', 'gluten', 'intolerant', 'dairy', 'intolerant', 'menu', 'healthy', 'ingredients', 'fresh', 'quality', 'mean', 'greenr', 'perfected', 'art']","['cafe', 'greenr', 'lifesaver', 'people', 'vegan', 'gluten', 'intolerant', 'dairy', 'intolerant', 'menu', 'healthy', 'ingredient', 'fresh', 'quality', 'mean', 'greenr', 'perfect', 'art']",cafe greenr lifesaver people vegan gluten intolerant dairy intolerant menu healthy ingredient fresh quality mean greenr perfect art,3,0.91,Positive,Healthy & Vegan Options,vegan
2025-10-01,Place matched the photos available on Google Maps. Cheerful with live music. A Date option too. Food though can be improved but would recommend for Vegan option. Overall experience was delightful.,place matched the photos available on google maps cheerful with live music a date option too food though can be improved but would recommend for vegan option overall experience was delightful,"['matched', 'photos', 'available', 'google', 'maps', 'cheerful', 'live', 'music', 'date', 'option', 'though', 'improved', 'would', 'recommend', 'vegan', 'option', 'overall', 'delightful']","['match', 'photo', 'available', 'google', 'map', 'cheerful', 'live', 'music', 'date', 'option', 'though', 'improve', 'would', 'recommend', 'vegan', 'option', 'overall', 'delightful']",match photo available google map cheerful live music date option though improve would recommend vegan option overall delightful,4,0.9136,Positive,Overall Experience & Ambience,vegan
2025-07-01,"One of the finest vegan Margherita pizzas I’ve ever tasted. The service was outstanding and the ambience was beautiful — though the pricing is slightly on the higher side, the overall experience was well worth it.",one of the finest vegan margherita pizzas ive ever tasted the service was outstanding and the ambience was beautiful though the pricing is slightly on the higher side the overall experience was well worth it,"['finest', 'vegan', 'margherita', 'pizzas', 'ive', 'ever', 'tasted', 'outstanding', 'beautiful', 'though', 'pricing', 'slightly', 'higher', 'side', 'overall', 'worth']","['fine', 'vegan', 'margherita', 'pizza', 'ever', 'outstanding', 'beautiful', 'though', 'pricing', 'slightly', 'high', 'side', 'overall', 'worth']",fine vegan margherita pizza ever outstanding beautiful though pricing slightly high side overall worth,4,0.891,Positive,Overall Experience & Ambience,vegan
2025-07-01,"One of the finest vegan Margherita pizzas I’ve ever tasted. The service was outstanding and the ambience was beautiful — though the pricing is slightly on the higher side, the overall experience was well worth it.",one of the finest vegan margherita pizzas ive ever tasted the service was outstanding and the ambience was beautiful though the pricing is slightly on the higher side the overall experience was well worth it,"['finest', 'vegan', 'margherita', 'pizzas', 'ive', 'ever', 'tasted', 'outstanding', 'beautiful', 'though', 'pricing', 'slightly', 'higher', 'side', 'overall', 'worth']","['fine', 'vegan', 'margherita', 'pizza', 'ever', 'outstanding', 'beautiful', 'though', 'pricing', 'slightly', 'high', 'side', 'overall', 'worth']",fine vegan margherita pizza ever outstanding beautiful though pricing slightly high side overall worth,4,0.891,Positive,Overall Experience & Ambience,pizza
2025-11-01,"Amazing place, incredible food. Everything was so fresh. Had a wonderful time. The drinks are really really good too. They have really good matcha (had the lychee matcha), the s'mores shake was amazing too; Melted tofu for the malai tikka; Perfectly sauced and tasty panuozo. Pizza was delicious tooooooo. Absolutely Incredible Ramen (soup spoon would have been nice though). Highly recommend!",amazing place incredible food everything was so fresh had a wonderful time the drinks are really really good too they have really good matcha had the lychee matcha the smores shake was amazing too melted tofu for the malai tikka perfectly sauced and tasty panuozo pizza was delicious tooooooo absolutely incredible ramen soup spoon would have been nice though highly recommend,"['incredible', 'everything', 'fresh', 'wonderful', 'drinks', 'matcha', 'lychee', 'matcha', 'smores', 'shake', 'melted', 'tofu', 'malai', 'tikka', 'perfectly', 'sauced', 'tasty', 'panuozo', 'pizza', 'delicious', 'tooooooo', 'incredible', 'ramen', 'soup', 'spoon', 'would', 'though', 'highly', 'recommend']","['incredible', 'everything', 'fresh', 'wonderful', 'drink', 'matcha', 'lychee', 'matcha', 'smore', 'shake', 'melt', 'tofu', 'malai', 'tikka', 'perfectly', 'sauce', 'tasty', 'panuozo', 'pizza', 'delicious', 'tooooooo', 'incredible', 'ramen', 'soup', 'spoon', 'would', 'though', 'highly', 'recommend']",incredible everything fresh wonderful drink matcha lychee matcha smore shake melt tofu malai tikka perfectly sauce tasty panuozo pizza delicious tooooooo incredible ramen soup spoon would though highly recommend,4,0.948,Positive,Overall Experience & Ambience,pizza
2025-06-01,"Let me say this upfront—I’m not a vegan. I love my butter, my ghee, and my occasional flirtation with foie gras. So, when someone mentions a new vegan restaurant, my instinct is usually to nod politely and return to my kebabs. But then I visited Canvas V in Malviya Nagar, and it turned my expectations upside down—plate by meticulously crafted plate.",let me say this upfrontim not a vegan i love my butter my ghee and my occasional flirtation with foie gras so when someone mentions a new vegan restaurant my instinct is usually to nod politely and return to my kebabs but then i visited canvas v in malviya nagar and it turned my expectations upside downplate by meticulously crafted plate,"['let', 'say', 'upfrontim', 'vegan', 'love', 'butter', 'ghee', 'occasional', 'flirtation', 'foie', 'gras', 'someone', 'mentions', 'new', 'vegan', 'instinct', 'usually', 'nod', 'politely', 'return', 'kebabs', 'visited', 'canvas', 'malviya', 'nagar', 'turned', 'expectations', 'upside', 'downplate', 'meticulously', 'crafted', 'plate']","['let', 'say', 'upfrontim', 'vegan', 'love', 'butter', 'ghee', 'occasional', 'flirtation', 'foie', 'gra', 'someone', 'mention', 'new', 'vegan', 'instinct', 'usually', 'nod', 'politely', 'return', 'kebab', 'canvas', 'malviya', 'nagar', 'turn', 'expectation', 'upside', 'downplate', 'meticulously', 'craft', 'plate']",let say upfrontim vegan love butter ghee occasional flirtation foie gra someone mention new vegan instinct usually nod politely return kebab canvas malviya nagar turn expectation upside downplate meticulously craft plate,1,0.7655,Positive,Millet & Vegan Experience,vegan
2025-06-01,"Let me say this upfront—I’m not a vegan. I love my butter, my ghee, and my occasional flirtation with foie gras. So, when someone mentions a new vegan restaurant, my instinct is usually to nod politely and return to my kebabs. But then I visited Canvas V in Malviya Nagar, and it turned my expectations upside down—plate by meticulously crafted plate.",let me say this upfrontim not a vegan i love my butter my ghee and my occasional flirtation with foie gras so when someone mentions a new vegan restaurant my instinct is usually to nod politely and return to my kebabs but then i visited canvas v in malviya nagar and it turned my expectations upside downplate by meticulously crafted plate,"['let', 'say', 'upfrontim', 'vegan', 'love', 'butter', 'ghee', 'occasional', 'flirtation', 'foie', 'gras', 'someone', 'mentions', 'new', 'vegan', 'instinct', 'usually', 'nod', 'politely', 'return', 'kebabs', 'visited', 'canvas', 'malviya', 'nagar', 'turned', 'expectations', 'upside', 'downplate', 'meticulously', 'crafted', 'plate']","['let', 'say', 'upfrontim', 'vegan', 'love', 'butter', 'ghee', 'occasional', 'flirtation', 'foie', 'gra', 'someone', 'mention', 'new', 'vegan', 'instinct', 'usually', 'nod', 'politely', 'return', 'kebab', 'canvas', 'malviya', 'nagar', 'turn', 'expectation', 'upside', 'downplate', 'meticulously', 'craft', 'plate']",let say upfrontim vegan love butter ghee occasional flirtation foie gra someone mention new vegan instinct usually nod politely return kebab canvas malviya nagar turn expectation upside downplate meticulously craft plate,1,0.7655,Positive,Millet & Vegan Experience,kebab
2025-07-01,"Canvas V isn’t trying to imitate meat or hide vegetables under faux textures. It does something far more radical—it celebrates plants. This is not a restaurant trying to convert carnivores with tofu pretending to be chicken. No, this is a place where the vegetable reigns supreme, unapologetically and beautifully.",canvas v isnt trying to imitate meat or hide vegetables under faux textures it does something far more radicalit celebrates plants this is not a restaurant trying to convert carnivores with tofu pretending to be chicken no this is a place where the vegetable reigns supreme unapologetically and beautifully,"['canvas', 'isnt', 'trying', 'imitate', 'meat', 'hide', 'vegetables', 'faux', 'textures', 'something', 'far', 'radicalit', 'celebrates', 'plants', 'trying', 'convert', 'carnivores', 'tofu', 'pretending', 'chicken', 'vegetable', 'reigns', 'supreme', 'unapologetically', 'beautifully']","['canvas', 'imitate', 'meat', 'hide', 'vegetable', 'faux', 'texture', 'something', 'far', 'radicalit', 'celebrates', 'plant', 'convert', 'carnivore', 'tofu', 'pretend', 'chicken', 'vegetable', 'reign', 'supreme', 'unapologetically', 'beautifully']",canvas imitate meat hide vegetable faux texture something far radicalit celebrates plant convert carnivore tofu pretend chicken vegetable reign supreme unapologetically beautifully,0,0.872,Positive,Menu & Food Variety,chicken
2025-08-01,"Then came the CHILLI ORANGE FENNEL SALAD, which sounds like it should be healthy—and it is—but that doesn’t mean it’s boring. The crispy fennel and iceberg lettuce tossed in a citrusy vinaigrette held their own, but the marinated tofu added depth and surprise. This wasn’t your soy-soaked afterthought—it was confident and flavour-forward.",then came the chilli orange fennel salad which sounds like it should be healthyand it isbut that doesnt mean its boring the crispy fennel and iceberg lettuce tossed in a citrusy vinaigrette held their own but the marinated tofu added depth and surprise this wasnt your soysoaked afterthoughtit was confident and flavourforward,"['came', 'chilli', 'orange', 'fennel', 'salad', 'sounds', 'healthyand', 'isbut', 'doesnt', 'mean', 'boring', 'crispy', 'fennel', 'iceberg', 'lettuce', 'tossed', 'citrusy', 'vinaigrette', 'held', 'marinated', 'tofu', 'added', 'depth', 'surprise', 'wasnt', 'soysoaked', 'afterthoughtit', 'confident', 'flavourforward']","['come', 'chilli', 'orange', 'fennel', 'salad', 'sound', 'healthyand', 'isbut', 'mean', 'boring', 'crispy', 'fennel', 'iceberg', 'lettuce', 'toss', 'citrusy', 'vinaigrette', 'hold', 'marinate', 'tofu', 'add', 'depth', 'surprise', 'soysoaked', 'afterthoughtit', 'confident', 'flavourforward']",come chilli orange fennel salad sound healthyand isbut mean boring crispy fennel iceberg lettuce toss citrusy vinaigrette hold marinate tofu add depth surprise soysoaked afterthoughtit confident flavourforward,0,0.4588,Positive,Menu & Food Variety,salad
2025-08-01,"Next up was the PESTO FOCACCIA SANDWICH. If you think vegan sandwiches are dull, this will convert you. Made with in-house whole wheat focaccia (from heirloom wheat, no less), layered with a punchy pesto, slow-roasted tomatoes, confit garlic, and cashew-based mozzarella—it was a revelation. Paired with smashed potatoes, it was indulgence without guilt. I was tempted to buy a loaf of their bread right then and there.",next up was the pesto focaccia sandwich if you think vegan sandwiches are dull this will convert you made with inhouse whole wheat focaccia from heirloom wheat no less layered with a punchy pesto slowroasted tomatoes confit garlic and cashewbased mozzarellait was a revelation paired with smashed potatoes it was indulgence without guilt i was tempted to buy a loaf of their bread right then and there,"['next', 'pesto', 'focaccia', 'sandwich', 'think', 'vegan', 'sandwiches', 'dull', 'convert', 'made', 'inhouse', 'whole', 'wheat', 'focaccia', 'heirloom', 'wheat', 'less', 'layered', 'punchy', 'pesto', 'slowroasted', 'tomatoes', 'confit', 'garlic', 'cashewbased', 'mozzarellait', 'revelation', 'paired', 'smashed', 'potatoes', 'indulgence', 'without', 'guilt', 'tempted', 'buy', 'loaf', 'bread', 'right']","['next', 'pesto', 'focaccia', 'sandwich', 'think', 'vegan', 'sandwich', 'dull', 'convert', 'inhouse', 'whole', 'wheat', 'focaccia', 'heirloom', 'wheat', 'less', 'layered', 'punchy', 'pesto', 'slowroaste', 'tomato', 'confit', 'garlic', 'cashewbased', 'mozzarellait', 'revelation', 'pair', 'smash', 'potato', 'indulgence', 'without', 'guilt', 'tempt', 'buy', 'loaf', 'bread', 'right']",next pesto focaccia sandwich think vegan sandwich dull convert inhouse whole wheat focaccia heirloom wheat less layered punchy pesto slowroaste tomato confit garlic cashewbased mozzarellait revelation pair smash potato indulgence without guilt tempt buy loaf bread right,1,-0.223,Negative,Millet & Vegan Experience,vegan
